"Year","Type","NAME","Candidate","Votes","Party","Cast"
"2018","State Representative","50","MATTHEW MCQUEEN",4695,"DEM","Early"
"2018","State Representative","50","MATTHEW MCQUEEN",2044,"DEM","ElectionDay"
"2018","State Representative","50","JARRATT APPLEWHITE",5222,"IND","Total"
"2018","State Representative","50","JARRATT APPLEWHITE",524,"IND","Absentee"
"2018","State Representative","50","JARRATT APPLEWHITE",2636,"IND","Early"
"2018","State Representative","50","JARRATT APPLEWHITE",2062,"IND","ElectionDay"
"2018","State Representative","51","RACHEL A BLACK",5486,"REP","Total"
"2018","State Representative","51","RACHEL A BLACK",403,"REP","Absentee"
"2018","State Representative","51","RACHEL A BLACK",3341,"REP","Early"
"2018","State Representative","51","RACHEL A BLACK",1742,"REP","ElectionDay"
"2018","State Representative","51","JEFF SWANSON",3045,"DEM","Total"
"2018","State Representative","51","JEFF SWANSON",471,"DEM","Absentee"
"2018","State Representative","51","JEFF SWANSON",1549,"DEM","Early"
"2018","State Representative","51","JEFF SWANSON",1025,"DEM","ElectionDay"
"2018","State Representative","52","DAVID L CHEEK",2293,"REP","Total"
"2018","State Representative","52","DAVID L CHEEK",239,"REP","Absentee"
"2018","State Representative","52","DAVID L CHEEK",1099,"REP","Early"
"2018","State Representative","52","DAVID L CHEEK",955,"REP","ElectionDay"
"2018","State Representative","52","DOREEN YBARRA GALLEGOS",4553,"DEM","Total"
"2018","State Representative","52","DOREEN YBARRA GALLEGOS",605,"DEM","Absentee"
"2018","State Representative","52","DOREEN YBARRA GALLEGOS",1957,"DEM","Early"
"2018","State Representative","52","DOREEN YBARRA GALLEGOS",1991,"DEM","ElectionDay"
"2018","State Representative","53","WILLIE A MADRID",2425,"DEM","Total"
"2018","State Representative","53","WILLIE A MADRID",298,"DEM","Absentee"
"2018","State Representative","53","WILLIE A MADRID",975,"DEM","Early"
"2018","State Representative","53","WILLIE A MADRID",1152,"DEM","ElectionDay"
"2018","State Representative","53","RICKY L LITTLE",2134,"REP","Total"
"2018","State Representative","53","RICKY L LITTLE",187,"REP","Absentee"
"2018","State Representative","53","RICKY L LITTLE",961,"REP","Early"
"2018","State Representative","53","RICKY L LITTLE",986,"REP","ElectionDay"
"2018","State Representative","54","JAMES G TOWNSEND",6773,"REP","Total"
"2018","State Representative","54","JAMES G TOWNSEND",637,"REP","Absentee"
"2018","State Representative","54","JAMES G TOWNSEND",2723,"REP","Early"
